"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AirNow","060010007","1","0.025","ppm","23","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/02/2021","AirNow","060010007","1","0.014","ppm","13","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/03/2021","AirNow","060010007","1","0.019","ppm","18","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/04/2021","AirNow","060010007","1","0.035","ppm","32","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/05/2021","AirNow","060010007","1","0.027","ppm","25","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/06/2021","AirNow","060010007","1","0.017","ppm","16","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/07/2021","AirNow","060010007","1","0.027","ppm","25","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/08/2021","AirNow","060010007","1","0.022","ppm","20","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/09/2021","AirNow","060010007","1","0.034","ppm","31","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/10/2021","AirNow","060010007","1","0.015","ppm","14","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/11/2021","AirNow","060010007","1","0.023","ppm","21","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/12/2021","AirNow","060010007","1","0.013","ppm","12","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/13/2021","AirNow","060010007","1","0.025","ppm","23","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/14/2021","AirNow","060010007","1","0.028","ppm","26","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/15/2021","AirNow","060010007","1","0.025","ppm","23","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/16/2021","AirNow","060010007","1","0.029","ppm","27","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/17/2021","AirNow","060010007","1","0.034","ppm","31","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/18/2021","AirNow","060010007","1","0.04","ppm","37","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/21/2021","AirNow","060010007","1","0.025","ppm","23","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/22/2021","AirNow","060010007","1","0.033","ppm","31","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/23/2021","AirNow","060010007","1","0.032","ppm","30","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/24/2021","AirNow","060010007","1","0.035","ppm","32","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/25/2021","AirNow","060010007","1","0.037","ppm","34","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/26/2021","AirNow","060010007","1","0.036","ppm","33","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/27/2021","AirNow","060010007","1","0.036","ppm","33","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/28/2021","AirNow","060010007","1","0.032","ppm","30","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/29/2021","AirNow","060010007","1","0.036","ppm","33","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/30/2021","AirNow","060010007","1","0.031","ppm","29","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/31/2021","AirNow","060010007","1","0.032","ppm","30","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/01/2021","AirNow","060010007","1","0.037","ppm","34","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/02/2021","AirNow","060010007","1","0.035","ppm","32","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/03/2021","AirNow","060010007","1","0.038","ppm","35","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/04/2021","AirNow","060010007","1","0.044","ppm","41","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/05/2021","AirNow","060010007","1","0.035","ppm","32","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/06/2021","AirNow","060010007","1","0.038","ppm","35","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/07/2021","AirNow","060010007","1","0.042","ppm","39","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/08/2021","AirNow","060010007","1","0.025","ppm","23","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/09/2021","AirNow","060010007","1","0.024","ppm","22","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/10/2021","AirNow","060010007","1","0.036","ppm","33","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/11/2021","AirNow","060010007","1","0.034","ppm","31","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/12/2021","AirNow","060010007","1","0.036","ppm","33","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/13/2021","AirNow","060010007","1","0.04","ppm","37","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/14/2021","AirNow","060010007","1","0.036","ppm","33","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/15/2021","AirNow","060010007","1","0.035","ppm","32","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/16/2021","AirNow","060010007","1","0.032","ppm","30","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/17/2021","AirNow","060010007","1","0.041","ppm","38","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/18/2021","AirNow","060010007","1","0.035","ppm","32","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/19/2021","AirNow","060010007","1","0.037","ppm","34","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/20/2021","AirNow","060010007","1","0.039","ppm","36","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/21/2021","AirNow","060010007","1","0.038","ppm","35","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
